"Quartal";"Change on the same quarter a year earlier";"Change on the previous quarter (seasonally and calendar-adjusted)"
"2008-01-01 01:00:00";1,98;0,63
"2008-04-01 02:00:00";2,92;-0,23
"2008-07-01 02:00:00";0,97;-0,65
"2008-10-01 02:00:00";-1,91;-1,59
"2009-01-01 01:00:00";-6,69;-4,68
"2009-04-01 02:00:00";-7,92;0,16
"2009-07-01 02:00:00";-5,49;0,56
"2009-10-01 02:00:00";-2,68;0,74
"2010-01-01 01:00:00";2,53;0,81
"2010-04-01 02:00:00";4,76;2,24
"2010-07-01 02:00:00";4,69;0,84
"2010-10-01 02:00:00";4,71;0,81
"2011-01-01 01:00:00";6,39;1,93
"2011-04-01 02:00:00";3,78;0,08
"2011-07-01 02:00:00";3,68;0,89
"2011-10-01 02:00:00";1,98;-0,31
"2012-01-01 01:00:00";1,49;0,21
"2012-04-01 02:00:00";0,42;0,19
"2012-07-01 02:00:00";-0,07;0,29
"2012-10-01 02:00:00";-0,1;-0,45
"2013-01-01 01:00:00";-1,54;-0,47
"2013-04-01 02:00:00";0,82;1,07
"2013-07-01 02:00:00";1,18;0,58
"2013-10-01 02:00:00";1,25;0,3
"2014-01-01 01:00:00";3,22;0,94
"2014-04-01 02:00:00";1,41;0
"2014-07-01 02:00:00";1,82;0,54
"2014-10-01 02:00:00";2,43;0,81
"2015-01-01 01:00:00";1;-0,52
"2015-04-01 02:00:00";1,53;0,71
"2015-07-01 02:00:00";1,52;0,5
"2015-10-01 02:00:00";1,89;0,43
"2016-01-01 01:00:00";2,16;0,81
"2016-04-01 02:00:00";3,57;0,41
"2016-07-01 02:00:00";1,86;0,34
"2016-10-01 02:00:00";1,37;0,31
"2017-01-01 01:00:00";3,6;1,22
"2017-04-01 02:00:00";1,34;0,78
"2017-07-01 02:00:00";2,69;0,88
"2017-10-01 02:00:00";3,1;0,81
"2018-01-01 01:00:00";1,41;-0,43
"2018-04-01 02:00:00";2,2;0,56
"2018-07-01 02:00:00";0,44;-0,42
"2018-10-01 02:00:00";0,35;0,39
"2019-01-01 01:00:00";1,54;1,05
"2019-04-01 02:00:00";0,12;-0,49
"2019-07-01 02:00:00";1,81;0,41
"2019-10-01 02:00:00";0,74;-0,07
"2020-01-01 01:00:00";-1,52;-1,76
"2020-04-01 02:00:00";-11,33;-10
"2020-07-01 02:00:00";-3,59;9,04
"2020-10-01 02:00:00";-1,91;0,74
"2021-01-01 01:00:00";-3,39;-2,05
"2021-04-01 02:00:00";9,62;1,49